Number of Dyck words is 16796
Processing Dyck words, elapsed time = 40ms 
Dyck words use ~ 697.099609 KB
Using 190 / 192 threads
Number of palindromic Dyck words is 252
Number of non-palindromic Dyck words is 8272
Thread 12 has load 183724
Thread 13 has load 183195
Thread 14 has load 182666
Thread 15 has load 182137
Thread 16 has load 181608
Thread 17 has load 181079
Thread 18 has load 180550
Thread 19 has load 187836
Thread 20 has load 187260
Thread 21 has load 186684
Thread 22 has load 186108
Thread 23 has load 185532
Thread 24 has load 184956
Thread 25 has load 184380
Thread 26 has load 183804
Thread 27 has load 183228
Thread 28 has load 182652
Thread 29 has load 182076
Thread 30 has load 181500
Thread 31 has load 180924
Thread 32 has load 180348
Thread 33 has load 187250
Thread 34 has load 186625
Thread 35 has load 186000
Thread 36 has load 185375
Thread 37 has load 184750
Thread 38 has load 184125
Thread 39 has load 183500
Thread 40 has load 182875
Thread 41 has load 182250
Thread 42 has load 181625
Thread 43 has load 181000
Thread 44 has load 180375
Thread 45 has load 186927
Thread 46 has load 186251
Thread 47 has load 185575
Thread 48 has load 184899
Thread 49 has load 184223
Thread 50 has load 183547
Thread 51 has load 182871
Thread 52 has load 182195
Thread 53 has load 181519
Thread 54 has load 180843
Thread 55 has load 180167
Thread 56 has load 186381
Thread 57 has load 185652
Thread 58 has load 184923
Thread 59 has load 184194
Thread 60 has load 183465
Thread 61 has load 182736
Thread 62 has load 182007
Thread 63 has load 181278
Thread 64 has load 180549
Thread 65 has load 186466
Thread 66 has load 185682
Thread 67 has load 184898
Thread 68 has load 184114
Thread 69 has load 183330
Thread 70 has load 182546
Thread 71 has load 181762
Thread 72 has load 180978
Thread 73 has load 180194
Thread 74 has load 185803
Thread 75 has load 184962
Thread 76 has load 184121
Thread 77 has load 183280
Thread 78 has load 182439
Thread 79 has load 181598
Thread 80 has load 180757
Thread 81 has load 186105
Thread 82 has load 185205
Thread 83 has load 184305
Thread 84 has load 183405
Thread 85 has load 182505
Thread 86 has load 181605
Thread 87 has load 180705
Thread 88 has load 185783
Thread 89 has load 184822
Thread 90 has load 183861
Thread 91 has load 182900
Thread 92 has load 181939
Thread 93 has load 180978
Thread 94 has load 185808
Thread 95 has load 184784
Thread 96 has load 183760
Thread 97 has load 182736
Thread 98 has load 181712
Thread 99 has load 180688
Thread 100 has load 185262
Thread 101 has load 184173
Thread 102 has load 183084
Thread 103 has load 181995
Thread 104 has load 180906
Thread 105 has load 185249
Thread 106 has load 184093
Thread 107 has load 182937
